scenario,alpha,beta,budget,rho,bBU,bBM,u_A_inf,m_A_inf,u_B_inf,m_B_inf,L_B,C,state
对称网络效应,0.8,0.8,0.8,0.13,0.10400000000000001,0.6960000000000001,0.12656378969300705,0.05074628784225322,0.8734362103069929,0.9492537121577468,0.9113449612323699,0.8226899224647397,平台B锁定
对称网络效应,0.8,0.8,0.8,0.14,0.11200000000000002,0.6880000000000001,0.12484217440173466,0.051269824757024865,0.8751578255982654,0.9487301752429751,0.9119440004206203,0.8238880008412405,平台B锁定
对称网络效应,0.8,0.8,0.8,0.15,0.12,0.68,0.12314627792614681,0.051802914299905946,0.8768537220738531,0.9481970857000941,0.9125254038869737,0.8250508077739472,平台B锁定
对称网络效应,0.8,0.8,0.8,0.16,0.128,0.672,0.12147577511310649,0.052345685723533916,0.8785242248868935,0.9476543142764661,0.9130892695816798,0.8261785391633596,平台B锁定
对称网络效应,0.8,0.8,0.8,0.17,0.136,0.664,0.11983034274638855,0.052898270240844605,0.8801696572536114,0.9471017297591554,0.9136356935063834,0.8272713870127668,平台B锁定
对称网络效应,0.8,0.8,0.8,0.18,0.144,0.6560000000000001,0.11820965985151782,0.05346080122589904,0.8817903401484821,0.946539198774101,0.9141647694612915,0.8283295389225831,平台B锁定
对称网络效应,0.8,0.8,0.8,0.19,0.15200000000000002,0.6480000000000001,0.1166134078382363,0.05403341428796196,0.8833865921617637,0.9459665857120381,0.9146765889369008,0.8293531778738017,平台B锁定
对称网络效应,0.8,0.8,0.8,0.2,0.16000000000000003,0.6400000000000001,0.1150412705774468,0.05461624729723502,0.8849587294225532,0.945383752702765,0.9151712410626591,0.8303424821253182,平台B锁定
对称网络效应,0.8,0.8,0.8,0.21,0.168,0.6320000000000001,0.1134929344723339,0.05520944041050934,0.8865070655276661,0.9447905595894907,0.9156488125585784,0.8312976251171568,平台B锁定
对称网络效应,0.8,0.8,0.8,0.22,0.17600000000000002,0.6240000000000001,0.11196808852413492,0.0558131360968927,0.888031911475865,0.9441868639031072,0.9161093876894861,0.8322187753789724,平台B锁定
对称网络效应,0.8,0.8,0.8,0.23,0.18400000000000002,0.6160000000000001,0.11046642428330224,0.056427479070678084,0.8895335757166978,0.9435725209293219,0.9165530483230099,0.8331060966460198,平台B锁定
对称网络效应,0.8,0.8,0.8,0.24,0.192,0.6080000000000001,0.1089876361064839,0.05705261648690895,0.8910123638935161,0.942947383513091,0.9169798737033036,0.8339597474066072,平台B锁定
对称网络效应,0.8,0.8,0.8,0.25,0.2,0.6000000000000001,0.1075314213873878,0.05768869812115521,0.8924685786126122,0.9423113018788448,0.9173899402457285,0.834779880491457,平台B锁定
对称网络效应,0.8,0.8,0.8,0.26,0.20800000000000002,0.592,0.10609748002426188,0.05833587590383077,0.8939025199757381,0.9416641240961692,0.9177833220359537,0.8355666440719074,平台B锁定
对称网络效应,0.8,0.8,0.8,0.27,0.21600000000000003,0.584,0.10468551480203854,0.05899430423343761,0.8953144851979614,0.9410056957665623,0.9181600904822619,0.8363201809645239,平台B锁定
对称网络效应,0.8,0.8,0.8,0.28,0.22400000000000003,0.576,0.10329523142429578,0.059664139996762525,0.8967047685757042,0.9403358600032374,0.9185203142894709,0.8370406285789418,平台B锁定
对称网络效应,0.8,0.8,0.8,0.29,0.23199999999999998,0.568,0.10192633854175302,0.0603455425894404,0.898073661458247,0.9396544574105596,0.9188640594344033,0.8377281188688066,平台B锁定
对称网络效应,0.8,0.8,0.8,0.3,0.24,0.5599999999999999,0.10057854761141481,0.061038673790244025,0.8994214523885852,0.938961326209756,0.9191913892991705,0.8383827785983411,平台B锁定
对称网络效应,0.8,0.8,0.8,0.31,0.248,0.5519999999999999,0.09925157335228926,0.06174369816321124,0.9007484266477107,0.9382563018367888,0.9195023642422497,0.8390047284844995,平台B锁定
