budget,rho,user_subsidy_initial,merchant_subsidy_initial,final_x,final_y,combined_share,concentration,cum_profit,directional_state
0.25,0.68,0.17,0.07999999999999999,0.0070692832967597045,0.01339212438588108,0.010230703841320393,0.9795385923173592,3.2048696818544156,平台B锁定
0.25,0.7000000000000001,0.17500000000000002,0.07499999999999998,0.007070247262090842,0.013390146547250053,0.010230196904670447,0.9795396061906592,3.201905566508372,平台B锁定
0.25,0.72,0.18,0.07,0.007071211381610565,0.013388169022310673,0.010229690201960618,0.9795406195960787,3.199035272649654,平台B锁定
0.25,0.74,0.185,0.065,0.007072175655342698,0.013386191811012114,0.010229183733177405,0.9795416325336452,3.196258341590452,平台B锁定
0.25,0.76,0.19,0.06,0.007073140083311064,0.013384214913303575,0.01022867749830732,0.9795426450033854,3.1935743201797924,平台B锁定
0.25,0.78,0.195,0.05499999999999999,0.007074104665539494,0.013382238329134244,0.010228171497336869,0.9795436570053262,3.190982760598244,平台B锁定
0.25,0.8,0.2,0.04999999999999999,0.0070750694020518205,0.013380262058453333,0.010227665730252578,0.9795446685394948,3.1884832201598345,平台B锁定
0.25,0.8200000000000001,0.20500000000000002,0.044999999999999984,0.0070760342928718805,0.013378286101210052,0.010227160197040966,0.9795456796059181,3.1860752611211614,平台B锁定
0.25,0.84,0.21,0.04000000000000001,0.0070769993380235124,0.01337631045735363,0.010226654897688571,0.9795466902046228,3.183758450497288,平台B锁定
0.25,0.86,0.215,0.035,0.007077964537530566,0.013374335126833293,0.01022614983218193,0.9795477003356361,3.1815323598840686,平台B锁定
0.25,0.88,0.22,0.03,0.0070789298914168885,0.013372360109598287,0.010225645000507587,0.9795487099989848,3.1793965652867686,平台B锁定
0.25,0.9,0.225,0.024999999999999994,0.0070798953997063315,0.013370385405597861,0.010225140402652096,0.9795497191946958,3.1773506469546904,平台B锁定
0.25,0.92,0.23,0.01999999999999999,0.007080861062422758,0.013368411014781274,0.010224636038602016,0.979550727922796,3.17539418922152,平台B锁定
0.25,0.9400000000000001,0.23500000000000001,0.014999999999999986,0.007081826879590024,0.013366436937097798,0.010224131908343911,0.9795517361833121,3.173526780351241,平台B锁定
0.25,0.96,0.24,0.010000000000000009,0.007082792851231999,0.013364463172496698,0.010223628011864348,0.9795527439762713,3.171748012389507,平台B锁定
0.25,0.98,0.245,0.0050000000000000044,0.0070837589773725465,0.01336248972092727,0.010223124349149907,0.9795537513017001,3.1700574810200726,平台B锁定
0.25,1.0,0.25,0.0,0.00708472525803555,0.013360516582338802,0.010222620920187175,0.9795547581596257,3.1684547854263103,平台B锁定
0.3,0.0,0.0,0.3,0.00703792999049383,0.013480568327124605,0.010259249158809217,0.9794815016823815,3.5433552881862695,平台B锁定
0.3,0.02,0.006,0.294,0.007039080456523794,0.013478178331184754,0.010258629393854274,0.9794827412122915,3.5335320672172603,平台B锁定
0.3,0.04,0.012,0.288,0.0070402311434411904,0.013475788790188022,0.010258009966814606,0.9794839800663708,3.5239253788452527,平台B锁定
0.3,0.06,0.018,0.282,0.007041382051286953,0.013473399704045924,0.010257390877666438,0.9794852182446672,3.5145319860616318,平台B锁定
0.3,0.08,0.024,0.276,0.00704253318010201,0.013471011072669993,0.010256772126386001,0.979486455747228,3.505348791683998,平台B锁定
0.3,0.1,0.03,0.27,0.0070436845299273005,0.01346862289597177,0.010256153712949535,0.979487692574101,3.4963728300222776,平台B锁定
0.3,0.12,0.036,0.264,0.007044836100803786,0.013466235173862829,0.010255535637333307,0.9794889287253334,3.4876012591327967,平台B锁定
0.3,0.14,0.042,0.258,0.007045987892772417,0.013463847906254755,0.010254917899513586,0.9794901642009728,3.479031353612523,平台B锁定
0.3,0.16,0.048,0.252,0.007047139905874164,0.013461461093059148,0.010254300499466656,0.9794913990010667,3.4706604978901563,平台B锁定
0.3,0.18,0.054,0.246,0.007048292140150002,0.013459074734187641,0.010253683437168822,0.9794926331256624,3.462486179974805,平台B锁定
0.3,0.2,0.06,0.24,0.007049444595640916,0.01345668882955187,0.010253066712596393,0.9794938665748072,3.4545059856263167,平台B锁定
0.3,0.22,0.066,0.23399999999999999,0.007050597272387898,0.01345430337906349,0.010252450325725694,0.9794950993485486,3.4467175929149483,平台B锁定
0.3,0.24,0.072,0.22799999999999998,0.007051750170431949,0.013451918382634183,0.010251834276533065,0.9794963314469338,3.4391187671402426,平台B锁定
