multi_home_cost,rho,seed,final_L,concentration,lock_state,success,time_to_success,total_subsidy_spend,roi,final_multi_share
0.5,0.5,5418,0.55,0.09999999999999998,coexist,0.0,,0.0,0.0,0.35
0.5,0.5,5419,0.33625,0.3275,tilted,0.0,,0.0,0.0,0.2
0.5,0.5,5420,0.495,0.06,coexist,0.0,,0.0,0.0,0.25
0.5,0.5,5421,0.52875,0.057499999999999996,coexist,0.0,,0.0,0.0,0.35
0.5,0.5,5422,0.375,0.25,tilted,0.0,,0.0,0.0,0.3
0.5,0.5,5423,0.54875,0.10249999999999998,coexist,0.0,,0.0,0.0,0.5
0.5,0.5,5424,0.41874999999999996,0.18749999999999994,coexist,0.0,,0.0,0.0,0.35
0.5,0.5,5425,0.5800000000000001,0.16000000000000003,coexist,0.0,,0.0,0.0,0.3
0.5,0.5,5426,0.5974999999999999,0.19499999999999995,coexist,0.0,,0.0,0.0,0.3
0.5,0.5,5427,0.43375,0.13249999999999995,coexist,0.0,,0.0,0.0,0.4
0.5,0.5,5428,0.425,0.15000000000000002,coexist,0.0,,0.0,0.0,0.25
0.5,0.5,5429,0.46875,0.0625,coexist,0.0,,0.0,0.0,0.5
0.8,0.5,5400,0.50625,0.03750000000000003,coexist,0.0,,0.0,0.0,0.25
0.8,0.5,5401,0.44499999999999995,0.11000000000000004,coexist,0.0,,0.0,0.0,0.15
0.8,0.5,5402,0.40875,0.1825,coexist,0.0,,0.0,0.0,0.15
0.8,0.5,5403,0.5425,0.08500000000000008,coexist,0.0,,0.0,0.0,0.3
0.8,0.5,5404,0.36875,0.26249999999999996,tilted,0.0,,0.0,0.0,0.25
0.8,0.5,5405,0.5225,0.05500000000000005,coexist,0.0,,0.0,0.0,0.1
0.8,0.5,5406,0.555,0.1100000000000001,coexist,0.0,,0.0,0.0,0.4
0.8,0.5,5407,0.585,0.17000000000000004,coexist,0.0,,0.0,0.0,0.15
0.8,0.5,5408,0.47625,0.15249999999999997,coexist,0.0,,0.0,0.0,0.2
0.8,0.5,5409,0.4175,0.16499999999999998,coexist,0.0,,0.0,0.0,0.1
0.8,0.5,5410,0.395,0.20999999999999996,tilted,0.0,,0.0,0.0,0.25
0.8,0.5,5411,0.61625,0.23249999999999993,tilted,0.0,,0.0,0.0,0.2
0.8,0.5,5412,0.38125,0.2375,tilted,0.0,,0.0,0.0,0.2
0.8,0.5,5413,0.54,0.07999999999999996,coexist,0.0,,0.0,0.0,0.15
0.8,0.5,5414,0.5,0.050000000000000044,coexist,0.0,,0.0,0.0,0.45
0.8,0.5,5415,0.36875,0.2625,tilted,0.0,,0.0,0.0,0.35
0.8,0.5,5416,0.565,0.13,coexist,0.0,,0.0,0.0,0.45
0.8,0.5,5417,0.385,0.23000000000000004,tilted,0.0,,0.0,0.0,0.2
0.8,0.5,5418,0.485,0.07,coexist,0.0,,0.0,0.0,0.1
0.8,0.5,5419,0.28875,0.42250000000000004,tilted,0.0,,0.0,0.0,0.15
0.8,0.5,5420,0.31625000000000003,0.3675,tilted,0.0,,0.0,0.0,0.0
0.8,0.5,5421,0.5775,0.15500000000000003,coexist,0.0,,0.0,0.0,0.3
0.8,0.5,5422,0.56375,0.12749999999999995,coexist,0.0,,0.0,0.0,0.15
0.8,0.5,5423,0.52375,0.05250000000000005,coexist,0.0,,0.0,0.0,0.4
