step,u_A,m_A,L_A,seed,C,scenario,scenario_label
0,0.55,0.55,0.55,202603,0.505,strong_A_adv,强网络效应，A初始略占优
1,0.805,0.78,0.7925,202603,0.6711125,strong_A_adv,强网络效应，A初始略占优
2,0.985,0.99,0.9875,202603,0.9753125,strong_A_adv,强网络效应，A初始略占优
3,0.995,1.0,0.9975,202603,0.9950125000000001,strong_A_adv,强网络效应，A初始略占优
4,1.0,0.9966666666666667,0.9983333333333333,202603,0.9966722222222222,strong_A_adv,强网络效应，A初始略占优
5,1.0,1.0,1.0,202603,1.0,strong_A_adv,强网络效应，A初始略占优
6,0.9933333333333333,0.9966666666666667,0.995,202603,0.9900500000000001,strong_A_adv,强网络效应，A初始略占优
7,0.9983333333333333,1.0,0.9991666666666666,202603,0.9983347222222221,strong_A_adv,强网络效应，A初始略占优
8,1.0,0.9966666666666667,0.9983333333333333,202603,0.9966722222222222,strong_A_adv,强网络效应，A初始略占优
9,1.0,0.9933333333333333,0.9966666666666666,202603,0.9933555555555553,strong_A_adv,强网络效应，A初始略占优
10,0.9966666666666667,0.9966666666666667,0.9966666666666667,202603,0.9933555555555555,strong_A_adv,强网络效应，A初始略占优
11,1.0,1.0,1.0,202603,1.0,strong_A_adv,强网络效应，A初始略占优
12,0.9933333333333333,0.9966666666666667,0.995,202603,0.9900500000000001,strong_A_adv,强网络效应，A初始略占优
13,0.9983333333333333,0.9966666666666667,0.9975,202603,0.9950125000000001,strong_A_adv,强网络效应，A初始略占优
